REVENUE,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,CANCELLATIONS_AFTER_NOON,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,LATE_DELIVERIES,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,AVG_MEAN_RATING,TOTAL_PHOTOS_VIEWED
980.00,Aerys I Targaryen,aerys.i.targaryen@msn.com,Aerys,I Targaryen,15,11,1,8,86.40,1,5,1,8,0,49.04,3,4.7,9
1290.00,Alannys Harlaw,alannys.harlaw@gmail.com,Alannys,Harlaw,92,3,1,2,163.30,4,6,2,13,0,115.51,5,4.7,19
850.00,Jaehaerys Targaryen (son of Aegon II),jaehaerys.targaryen.(son.of.aegon.ii)@protonmail.com,Jaehaerys,Targaryen ,14,11,1,4,102.20,0,6,1,21,0,67.00,2,4.7,5
1080.00,Kyra Frey,kyra.frey@protonmail.com,Kyra,Frey,13,11,1,10,129.20,1,5,1,20,0,58.42,4,4.7,3
849.00,Leslyn Haigh,leslyn.haigh@hotmail.com,Leslyn,Haigh,14,12,1,3,93.00,2,6,1,0,0,113.00,4,4.7,9
1400.00,Quenton Greyjoy,quenton.greyjoy@ibm.com,Quenton,Greyjoy,70,6,1,7,160.10,0,6,1,47,0,140.25,4,4.7,14
1770.00,Rob,rob@unitedtech.com,Rob,Rob,39,7,1,10,168.00,0,6,1,24,0,148.76,6,4.7,16
1175.00,Urzen,urzen@protonmail.com,Urzen,Urzen,109,6,1,3,92.50,4,5,2,9,0,84.00,3,4.7,3
1270.00,Walder Frey (son of Merrett),walder.frey.(son.of.merrett)@ibm.com,Walder,Frey ,71,7,1,4,104.50,2,6,1,0,0,76.36,4,4.7,3
1410.00,Roger Hogg,roger.hogg@yahoo.com,Roger,Hogg,42,7,1,6,108.00,0,6,1,13,11,71.00,4,4.5,120
1400.00,Kyleg,kyleg@pg.com,Kyleg,Kyleg,40,3,1,6,155.80,0,6,2,7,12,111.30,4,4.5,12
1415.00,Clarence Charlton,clarence.charlton@yahoo.com,Clarence,Charlton,57,5,1,6,133.70,2,6,1,12,0,103.00,5,4.5,18
1440.00,Eyron Stark,eyron.stark@protonmail.com,Eyron,Stark,70,7,1,10,109.90,0,6,2,3,0,98.25,4,4.5,20
780.00,Franklyn Fowler,franklyn.fowler@chevron.com,Franklyn,Fowler,15,12,1,8,89.90,0,5,2,21,0,65.56,3,4.5,8
1280.00,Gevin Harlaw,gevin.harlaw@dupont.com,Gevin,Harlaw,31,5,1,8,148.40,3,5,2,0,0,57.00,7,4.5,7
1490.00,Gorold Goodbrother,gorold.goodbrother@gmail.com,Gorold,Goodbrother,39,5,1,4,193.00,2,5,1,6,0,63.76,6,4.5,3
1095.00,Harwin,harwin@walmart.com,Harwin,Harwin,31,6,1,8,78.40,6,6,1,8,0,61.30,3,4.5,14
1249.00,Jory Cassel,jory.cassel@gmail.com,Jory,Cassel,35,4,1,10,78.00,1,5,1,11,0,74.00,2,4.5,14
1310.00,Lyanna Stark,lyanna.stark@merck.com,Lyanna,Stark,46,4,1,10,100.80,1,5,1,0,0,65.60,4,4.5,54
1440.00,Saera Targaryen,saera.targaryen@protonmail.com,Saera,Targaryen,48,4,1,10,115.00,3,6,2,0,0,100.00,4,4.5,176
1585.00,Walder Haigh,walder.haigh@aol.com,Walder,Haigh,47,7,1,5,115.20,1,6,2,35,0,136.00,4,4.5,19
1330.00,Raynard,raynard@yahoo.com,Raynard,Raynard,33,7,1,9,76.70,1,6,1,34,3,41.58,2,4.2,182
1295.00,Cetheres,cetheres@cisco.com,Cetheres,Cetheres,29,6,1,8,147.50,1,5,2,0,4,34.65,4,4.2,11
1350.00,Creighton Redfort,creighton.redfort@gmail.com,Creighton,Redfort,38,4,1,7,86.40,2,6,1,0,8,84.00,3,4.2,19
809.00,Margot Lannister,margot.lannister@cocacola.com,Margot,Lannister,13,11,1,9,104.90,3,5,1,4,9,49.50,3,4.2,8
1450.00,Noho Dimittis,noho.dimittis@gmail.com,Noho,Dimittis,74,7,1,5,147.70,1,6,1,0,10,58.92,4,4.2,5
1145.00,Beqqo,beqqo@boeing.com,Beqqo,Beqqo,33,4,1,10,91.20,3,5,1,13,0,107.50,3,4.2,1
1600.00,Dagon Ironmaker,dagon.ironmaker@yahoo.com,Dagon,Ironmaker,52,6,1,4,126.80,0,6,2,13,0,60.00,5,4.2,88
1100.00,Denyo Terys,denyo.terys@msn.com,Denyo,Terys,32,6,1,4,128.40,1,6,1,30,0,34.00,3,4.2,16
890.00,Elza,elza@verizon.com,Elza,Elza,14,11,1,10,136.10,4,5,1,2,0,50.80,4,4.2,12
1795.00,Ilyn Payne,ilyn.payne@gmail.com,Ilyn,Payne,42,6,1,10,219.20,4,6,1,27,0,92.00,6,4.2,14
1280.00,Jasper Redfort,jasper.redfort@live.com,Jasper,Redfort,56,5,1,6,98.40,3,5,2,3,0,91.00,3,4.2,20
825.00,Lem (Standfast),lem.(standfast)@yahoo.com,Lem,,12,12,1,9,115.20,1,6,2,13,0,70.45,4,4.2,58
780.00,Luthor Tyrell (son of Theodore),luthor.tyrell.(son.of.theodore)@intel.com,Luthor,Tyrell ,12,11,1,5,119.20,3,5,1,14,0,61.02,4,4.2,4
1460.00,Rhaegar Frey,rhaegar.frey@cisco.com,Rhaegar,Frey,91,5,1,10,109.20,1,6,2,0,0,94.78,3,4.2,16
1300.00,Salladhor Saan,salladhor.saan@gmail.com,Salladhor,Saan,31,6,1,1,87.40,1,5,1,11,0,70.53,3,4.2,20
1360.00,Zekko,zekko@gmail.com,Zekko,Zekko,114,7,1,2,114.30,1,5,1,14,0,71.50,4,4.2,150
1300.00,Cayn,cayn@yahoo.com,Cayn,Cayn,71,5,1,3,130.60,1,7,1,11,7,163.60,4,3.9,10
950.00,Chella,chella@unitedtech.com,Chella,Chella,15,11,1,7,111.10,0,6,1,11,0,90.84,3,3.9,17
1185.00,Cynthea Frey,cynthea.frey@cisco.com,Cynthea,Frey,27,5,1,6,121.60,0,6,2,14,0,82.80,4,3.9,15
1270.00,Frenken,frenken@protonmail.com,Frenken,Frenken,49,2,1,5,114.90,0,5,2,0,0,107.82,5,3.9,10
1330.00,Jon Lynderly,jon.lynderly@merck.com,Jon,Lynderly,81,4,1,6,110.40,1,5,1,13,0,103.25,3,3.9,9
1260.00,Lenwood Tawney,lenwood.tawney@microsoft.com,Lenwood,Tawney,70,8,1,10,91.90,1,6,2,0,0,67.00,3,3.9,5
930.00,Myrielle Lannister,myrielle.lannister@aol.com,Myrielle,Lannister,15,11,1,3,138.70,0,5,1,13,0,57.00,5,3.9,15
1325.00,Rufus Leek,rufus.leek@dupont.com,Rufus,Leek,28,5,1,3,114.80,4,6,2,1,0,86.31,4,3.9,4
1117.00,Steelskin,steelskin@travelers.com,Steelskin,Steelskin,50,6,1,7,130.20,1,6,1,0,0,13.80,4,3.9,356
1900.00,Briar,briar@ibm.com,Briar,Briar,49,7,1,2,128.50,4,5,2,52,5,99.20,4,3.7,6
795.00,Lucas Codd,lucas.codd@passport.com,Lucas,Codd,13,11,1,7,93.50,0,5,1,1,8,88.00,2,3.7,10
1005.00,Aglantine,aglantine@me.com,Aglantine,Aglantine,15,12,1,7,98.70,2,5,1,6,9,18.90,3,3.7,422
2880.00,Dale Drumm,dale.drumm@msn.com,Dale,Drumm,153,7,1,1,188.40,1,5,1,0,11,68.00,5,3.7,5
1315.00,Mathis Frey,mathis.frey@passport.com,Mathis,Frey,36,4,1,1,103.90,3,4,1,12,13,124.25,4,3.7,19
1715.00,Aemon Costayne,aemon.costayne@gmail.com,Aemon,Costayne,86,5,1,8,127.90,0,5,1,0,0,98.25,4,3.7,5
2070.00,Alysanne Lefford,alysanne.lefford@yahoo.com,Alysanne,Lefford,173,6,1,6,135.80,0,5,2,8,0,75.98,4,3.7,146
1780.00,Benedar Belmore,benedar.belmore@jpmorgan.com,Benedar,Belmore,44,6,1,6,124.50,1,5,2,20,0,37.35,3,3.7,11
2085.00,Castos,castos@gmail.com,Castos,Castos,57,7,1,10,171.00,1,6,2,4,0,85.50,6,3.7,196
2070.00,Cotter Pyke,cotter.pyke@gmail.com,Cotter,Pyke,64,8,1,9,176.40,2,6,2,6,0,109.90,5,3.7,192
2080.00,Dornish Dilly,dornish.dilly@yahoo.com,Dornish,Dilly,55,6,1,4,198.20,4,6,1,7,0,142.07,4,3.7,242
3105.00,Ellaria Sand,ellaria.sand@mmm.com,Ellaria,Sand,183,9,1,10,229.00,2,6,2,12,0,116.50,7,3.7,5
1400.00,Imry Florent,imry.florent@msn.com,Imry,Florent,65,7,1,6,106.90,1,6,1,7,0,38.43,2,3.7,4
3450.00,Jasper Wylde,jasper.wylde@gmail.com,Jasper,Wylde,83,7,1,2,165.90,1,6,2,1,0,63.64,3,3.7,15
2683.50,Jayne Bracken,jayne.bracken@nike.com,Jayne,Bracken,190,7,1,5,157.30,0,5,2,17,0,91.08,4,3.7,110
1925.00,Joy Hill,joy.hill@gmail.com,Joy,Hill,52,6,1,1,155.50,1,6,1,0,0,33.82,5,3.7,16
999.00,Karlon Stark,karlon.stark@hotmail.com,Karlon,Stark,13,12,1,4,79.20,0,6,1,2,0,60.70,2,3.7,17
1995.00,Lollys Stokeworth,lollys.stokeworth@me.com,Lollys,Stokeworth,53,7,1,2,132.40,0,5,1,8,0,184.94,4,3.7,3
2940.00,Melisandre,melisandre@passport.com,Melisandre,Melisandre,89,7,1,2,143.20,1,6,1,4,0,86.39,5,3.7,206
1830.00,Mors Manwoody,mors.manwoody@msn.com,Mors,Manwoody,41,5,1,6,142.70,1,5,2,11,0,110.04,5,3.7,9
2730.00,Myria Jordayne,myria.jordayne@aol.com,Myria,Jordayne,122,7,1,9,179.20,0,5,1,1,0,128.35,5,3.7,172
1630.00,Naerys Targaryen,naerys.targaryen@protonmail.com,Naerys,Targaryen,49,7,1,8,191.20,0,5,2,46,0,106.00,5,3.7,4
1437.00,Narbert,narbert@boeing.com,Narbert,Narbert,50,5,1,2,95.80,1,6,1,13,0,205.60,3,3.7,9
1060.00,Rolder,rolder@gmail.com,Rolder,Rolder,15,11,1,3,213.80,2,6,2,17,0,85.00,9,3.7,18
1850.00,Skyte,skyte@unitedtech.com,Skyte,Skyte,39,8,1,2,103.40,1,5,1,0,0,37.07,2,3.7,17
1930.00,Tygett Lannister,tygett.lannister@me.com,Tygett,Lannister,57,4,1,4,156.10,3,5,1,1,0,140.39,4,3.7,132
1295.00,Unella,unella@unitedhealth.com,Unella,Unella,43,4,1,8,104.00,1,6,1,1,0,113.00,3,3.7,10
1350.00,Urrigon Greyjoy,urrigon.greyjoy@gmail.com,Urrigon,Greyjoy,42,3,1,4,122.90,1,6,1,47,0,173.40,4,3.7,11
1240.00,Victaria Tyrell,victaria.tyrell@unitedhealth.com,Victaria,Tyrell,43,5,1,5,122.90,2,6,2,2,0,12.00,3,3.7,5
1760.00,Weese,weese@gmail.com,Weese,Weese,93,9,1,6,141.40,3,6,1,15,0,77.50,4,3.7,11
1750.00,Will (squire),will.(squire)@passport.com,Will,,43,6,1,4,169.10,4,6,2,2,0,96.00,3,3.7,17
1430.00,Ygon Farwynd,ygon.farwynd@protonmail.com,Ygon,Farwynd,29,6,1,5,136.20,1,6,2,4,3,138.15,3,3.4,16
1385.00,Desmond Grell,desmond.grell@yahoo.com,Desmond,Grell,41,4,1,9,90.80,0,6,1,0,4,117.72,2,3.4,17
1750.00,Sumner Crakehall,sumner.crakehall@yahoo.com,Sumner,Crakehall,55,5,1,5,141.20,6,7,1,3,7,114.57,4,3.4,10
2760.00,Addam,addam@walmart.com,Addam,Addam,233,8,1,2,150.20,0,5,2,25,9,88.41,5,3.4,268
3900.00,Rhialta Vance,rhialta.vance@dupont.com,Rhialta,Vance,195,9,1,10,236.20,7,6,1,25,9,81.13,6,3.4,9
1730.00,Selmond Stackspear,selmond.stackspear@mmm.com,Selmond,Stackspear,44,6,1,4,163.20,2,6,3,8,9,106.57,5,3.4,178
1945.00,Donnel of Duskendale,donnel.of.duskendale@gmail.com,Donnel,of Duskendale,46,9,1,5,189.50,2,6,2,8,10,109.32,5,3.4,12
2850.00,Dunstan Drumm,dunstan.drumm@passport.com,Dunstan,Drumm,50,6,1,3,147.80,1,6,1,2,11,66.80,3,3.4,12
2962.50,Mya Stone,mya.stone@yahoo.com,Mya,Stone,192,7,1,7,146.00,1,5,2,0,15,101.37,4,3.4,10
1700.00,Alyn Velaryon,alyn.velaryon@protonmail.com,Alyn,Velaryon,56,7,1,2,204.80,2,5,1,11,0,136.60,7,3.4,19
1730.00,Andrew Estermont,andrew.estermont@ge.org,Andrew,Estermont,65,5,1,5,163.60,1,5,1,48,0,149.38,5,3.4,18
820.00,Arthur Ambrose,arthur.ambrose@live.com,Arthur,Ambrose,15,11,1,5,94.40,3,5,1,21,0,111.06,2,3.4,4
3225.00,Ashara Dayne,ashara.dayne@travelers.com,Ashara,Dayne,57,9,1,10,158.40,3,5,1,5,0,103.40,4,3.4,4
1300.00,Ayrmidon,ayrmidon@yahoo.com,Ayrmidon,Ayrmidon,54,6,1,7,235.00,1,6,2,1,0,97.00,8,3.4,6
2814.00,Belis,belis@protonmail.com,Belis,Belis,64,7,1,2,182.90,3,5,1,0,0,96.48,5,3.4,223
1410.00,Cosgrove,cosgrove@live.com,Cosgrove,Cosgrove,30,4,1,3,86.40,1,6,1,2,0,84.99,3,3.4,13
1845.00,Eustace Brune,eustace.brune@disney.com,Eustace,Brune,100,7,1,2,137.40,2,6,1,2,0,134.00,5,3.4,4
2683.50,Jaehaerys I Targaryen,jaehaerys.i.targaryen@aol.com,Jaehaerys,I Targaryen,49,7,1,7,142.80,1,5,2,4,0,114.74,4,3.4,256
2512.50,Jeyne Poole,jeyne.poole@yahoo.com,Jeyne,Poole,54,9,1,9,153.40,0,6,2,37,0,100.12,5,3.4,248
1635.00,Khorane Sathmantes,khorane.sathmantes@yahoo.com,Khorane,Sathmantes,43,3,1,5,96.40,2,6,1,8,0,130.60,3,3.4,20
1955.00,Lucos Chyttering,lucos.chyttering@walmart.com,Lucos,Chyttering,87,7,1,2,159.40,4,5,2,37,0,107.25,5,3.4,3
1249.00,Pate (Mory),pate.(mory)@goldmansacs.com,Pate,,98,7,1,3,186.90,1,5,1,47,0,93.20,5,3.4,3
2130.00,Quenten Banefort,quenten.banefort@protonmail.com,Quenten,Banefort,90,9,1,6,198.60,1,6,1,40,0,79.96,7,3.4,196
1380.00,Roger of Pennytree,roger.of.pennytree@nike.com,Roger,of Pennytree,40,6,1,5,99.00,0,5,2,6,0,80.72,3,3.4,15
2719.50,Terrance Lynderly,terrance.lynderly@msn.com,Terrance,Lynderly,94,5,1,9,216.10,1,6,2,5,0,114.00,6,3.4,227
1829.00,Willam,willam@yahoo.com,Willam,Willam,60,8,1,10,144.00,3,5,1,0,0,122.46,5,3.4,310
1431.00,Wyman Manderly,wyman.manderly@aol.com,Wyman,Manderly,29,5,1,10,107.60,5,5,1,50,0,95.16,3,3.4,176
1550.00,Lorimer,lorimer@exxon.com,Lorimer,Lorimer,37,7,1,2,183.90,0,5,2,0,5,85.00,5,3.2,351
1515.00,Yandry,yandry@yahoo.com,Yandry,Yandry,38,6,1,9,117.70,1,6,1,9,7,118.50,4,3.2,98
3300.00,Clarence Crabb,clarence.crabb@yahoo.com,Clarence,Crabb,62,7,1,10,221.70,0,6,3,6,8,150.65,6,3.2,16
1600.00,Cletus Yronwood,cletus.yronwood@pg.com,Cletus,Yronwood,50,5,1,3,111.60,0,5,2,47,11,96.00,3,3.2,261
1590.00,Gerold Dayne,gerold.dayne@protonmail.com,Gerold,Dayne,35,7,1,2,121.80,1,5,2,0,13,99.05,4,3.2,19
1300.00,Waymar Royce,waymar.royce@microsoft.com,Waymar,Royce,68,5,1,7,95.00,2,6,1,13,13,135.74,3,3.2,14
3202.50,Aenys Frey,aenys.frey@pg.com,Aenys,Frey,83,8,1,7,281.40,2,5,0,7,0,93.71,7,3.2,190
1975.00,Allar Deem,allar.deem@live.com,Allar,Deem,64,6,1,2,138.10,4,6,2,47,0,101.60,3,3.2,19
1790.00,Ballabar,ballabar@unitedtech.com,Ballabar,Ballabar,89,5,1,7,151.50,4,6,2,0,0,89.24,6,3.2,17
2115.00,Calon,calon@protonmail.com,Calon,Calon,135,7,1,2,122.60,4,5,1,0,0,35.82,2,3.2,8
640.00,Dobber,dobber@apple.com,Dobber,Dobber,13,12,1,2,112.00,1,5,2,12,0,114.92,3,3.2,15
1635.00,Harmond Umber,harmond.umber@unitedtech.com,Harmond,Umber,54,7,1,10,165.70,0,5,2,48,0,128.55,5,3.2,14
1485.00,Melissa Blackwood,melissa.blackwood@msn.com,Melissa,Blackwood,37,7,1,2,144.10,3,6,2,6,0,136.21,5,3.2,16
1225.00,Pudding,pudding@yahoo.com,Pudding,Pudding,26,6,1,2,229.00,1,5,2,24,0,108.40,9,3.2,17
2490.00,Robin Hill,robin.hill@yahoo.com,Robin,Hill,181,9,1,2,153.50,1,5,2,0,0,106.71,5,3.2,168
1390.00,Ryam,ryam@aol.com,Ryam,Ryam,55,6,1,7,95.20,1,5,1,48,0,68.50,2,3.2,19
1890.00,Symond Frey,symond.frey@protonmail.com,Symond,Frey,72,6,1,2,143.40,0,6,1,36,0,85.29,4,3.2,8
2595.00,Three-Tooth,three-tooth@passport.com,Three-Tooth,Three-Tooth,74,8,1,4,160.40,2,5,2,7,0,87.14,6,3.2,180
3075.00,Vardis Egen,vardis.egen@passport.com,Vardis,Egen,69,9,1,2,204.20,0,5,1,4,0,124.04,6,3.2,306
3138.00,Wex Pyke,wex.pyke@live.com,Wex,Pyke,66,7,1,6,186.10,0,5,2,0,0,89.01,5,3.2,156
1870.00,Wilbert Osgrey,wilbert.osgrey@dupont.com,Wilbert,Osgrey,43,6,1,9,185.50,2,6,2,9,0,97.00,5,3.2,360
1490.00,Zachery Frey,zachery.frey@nike.com,Zachery,Frey,94,5,1,3,135.20,3,6,1,11,0,104.00,5,3.2,15
1470.00,Patrek Mallister,patrek.mallister@protonmail.com,Patrek,Mallister,32,10,1,10,179.50,2,6,2,3,3,104.86,5,2.9,428
2075.00,Rickard Thorne,rickard.thorne@apple.com,Rickard,Thorne,47,9,1,9,165.20,2,5,2,47,5,89.98,4,2.9,120
2110.00,Ben Plumm,ben.plumm@protonmail.com,Ben,Plumm,63,7,1,10,194.80,1,5,2,8,8,76.75,6,2.9,16
1430.00,Eleanor Mooton,eleanor.mooton@disney.com,Eleanor,Mooton,44,5,1,6,145.60,6,6,2,11,10,25.08,5,2.9,7
1375.00,Bethany Fair-Fingers,bethany.fair-fingers@gmail.com,Bethany,Fair-Fingers,32,4,1,8,118.10,0,5,2,0,0,100.12,4,2.9,5
1910.00,Conwy,conwy@live.com,Conwy,Conwy,40,7,1,10,147.90,0,6,2,0,0,90.82,4,2.9,125
3375.00,Fogo,fogo@me.com,Fogo,Fogo,57,5,1,5,219.60,2,5,1,0,0,150.84,5,2.9,234
2775.00,Greydon Goodbrother,greydon.goodbrother@protonmail.com,Greydon,Goodbrother,58,8,1,5,206.40,1,5,1,0,0,180.59,5,2.9,383
3724.50,Jeyne Goodbrook,jeyne.goodbrook@ge.org,Jeyne,Goodbrook,187,10,1,2,178.20,1,5,1,0,0,171.70,5,2.9,238
1615.00,Malliard,malliard@walmart.com,Malliard,Malliard,38,6,1,1,134.20,0,6,1,35,0,101.90,5,2.9,15
1030.00,Moon Boy,moon.boy@dupont.com,Moon,Boy,13,12,1,10,122.40,1,6,1,6,0,116.99,6,2.9,13
1900.00,Quentin Tyrell,quentin.tyrell@jpmorgan.com,Quentin,Tyrell,67,8,1,5,172.80,0,6,1,37,0,93.13,5,2.9,7
1595.00,Quentyn Qorgyle,quentyn.qorgyle@protonmail.com,Quentyn,Qorgyle,69,5,1,4,142.60,2,6,2,11,0,77.50,4,2.9,140
810.00,Ragwyle,ragwyle@protonmail.com,Ragwyle,Ragwyle,15,11,1,8,89.40,0,5,1,11,0,173.00,4,2.9,18
3045.00,Robert Flowers,robert.flowers@mcdonalds.com,Robert,Flowers,194,7,1,9,165.20,8,5,1,9,0,56.30,4,2.9,16
2030.00,Yoren,yoren@me.com,Yoren,Yoren,66,6,1,4,144.40,2,6,1,0,0,104.39,4,2.9,68
3067.50,Yormwell,yormwell@aol.com,Yormwell,Yormwell,197,8,1,1,197.10,1,5,2,22,0,102.75,6,2.9,14
3000.00,Rodrik Stark (son of Beron),rodrik.stark.(son.of.beron)@yahoo.com,Rodrik,Stark ,108,8,1,10,165.60,1,6,1,0,3,105.96,5,2.6,3
3075.00,Hazzea,hazzea@gmail.com,Hazzea,Hazzea,231,8,1,9,168.50,2,5,1,0,6,116.24,3,2.6,298
1465.00,Barth,barth@yahoo.com,Barth,Barth,45,5,1,3,152.10,2,5,1,0,0,103.20,6,2.6,5
5083.50,Cleyton Caswell,cleyton.caswell@gmail.com,Cleyton,Caswell,189,7,1,9,197.30,0,6,1,11,0,141.26,7,2.6,375
4042.50,Donyse,donyse@yahoo.com,Donyse,Donyse,73,10,1,4,169.80,2,5,2,5,0,133.86,6,2.6,340
1500.00,Malwyn Frey,malwyn.frey@amex.com,Malwyn,Frey,128,10,1,6,294.40,0,5,2,8,0,250.72,7,2.6,1050
3592.50,Robar Royce,robar.royce@gmail.com,Robar,Royce,72,9,1,10,253.10,3,6,1,0,0,123.57,7,2.6,513
4042.50,Willamen Frey,willamen.frey@protonmail.com,Willamen,Frey,81,5,1,2,322.20,2,6,1,0,0,126.76,9,2.6,13
3780.00,Coldhands,coldhands@verizon.com,Coldhands,Coldhands,98,8,2,9,178.60,2,5,2,0,9,139.60,4,2.4,240
2130.00,Stonesnake,stonesnake@travelers.com,Stonesnake,Stonesnake,76,8,2,10,182.00,0,5,2,19,11,104.50,6,2.4,9
2587.50,Illyrio Mopatis,illyrio.mopatis@gmail.com,Illyrio,Mopatis,53,6,2,3,134.60,1,6,2,51,0,115.96,4,2.4,60
1265.00,Raymar Royce,raymar.royce@yahoo.com,Raymar,Royce,58,4,2,3,107.20,3,6,2,7,0,89.35,3,2.4,19
3027.00,Vaemond Velaryon,vaemond.velaryon@disney.com,Vaemond,Velaryon,181,9,2,1,153.00,7,6,2,2,0,132.06,5,2.4,120
2092.00,Alester Oakheart,alester.oakheart@aol.com,Alester,Oakheart,53,8,2,10,134.40,1,6,2,0,0,88.40,6,2.1,200
2550.00,Manfryd Lothston,manfryd.lothston@gmail.com,Manfryd,Lothston,56,7,2,9,161.20,1,5,2,0,0,120.18,4,2.1,60
3465.00,Symon Santagar,symon.santagar@dupont.com,Symon,Santagar,85,8,2,10,217.20,1,6,1,9,0,141.54,7,2.1,350
799.00,Danelle Lothston,danelle.lothston@aol.com,Danelle,Lothston,15,11,2,7,119.80,1,6,2,43,0,57.86,5,5.0,19
1790.00,Pono,pono@gmail.com,Pono,Pono,53,5,2,3,120.00,0,6,1,2,0,105.00,3,5.0,12
1240.00,Samwell Spicer,samwell.spicer@gmail.com,Samwell,Spicer,29,7,2,8,105.40,2,6,1,0,6,90.88,4,4.7,20
1250.00,Tarber,tarber@protonmail.com,Tarber,Tarber,42,6,2,7,116.40,2,5,1,0,6,106.80,3,4.7,15
585.00,Mawney,mawney@protonmail.com,Mawney,Mawney,14,12,2,2,86.40,2,5,2,1,9,89.12,3,4.7,9
1050.00,Cedra,cedra@mmm.com,Cedra,Cedra,12,12,2,8,134.20,0,5,1,14,0,67.00,5,4.7,15
785.00,Gwin Goodbrother,gwin.goodbrother@cocacola.com,Gwin,Goodbrother,16,11,2,4,72.50,0,5,1,5,0,108.00,2,4.7,8
1380.00,Joanna Lannister,joanna.lannister@protonmail.com,Joanna,Lannister,29,5,2,4,190.40,1,6,2,10,0,74.00,5,4.7,15
800.00,Quickfinger,quickfinger@goldmansacs.com,Quickfinger,Quickfinger,13,12,2,8,100.60,0,6,1,10,0,93.00,3,4.7,9
